127.0.0.1 - - [11/Oct/2022:15:00:53 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:00:54 +0900] "GET /practice01/ HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:00:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:32:48 +0900] "GET /practice01/ HTTP/1.1" 500 2569
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:33:00 +0900] "GET /practice01/ HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:33:02 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:59:07 +0900] "GET /practice01/ HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:00:15 +0900] "GET /practice01/ HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:39 +0900] "GET /practice01/ HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:42 +0900] "GET /practice01/test02.jsp?id=d&pw=d&name=d HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:47 +0900] "GET /practice01/index.jsp?msg=id%20:%20d,%20pw%20:%20d,%20name%20:%20d HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:57 +0900] "GET /practice01/index.jsp?msg=id%20:%20d,%20pw%20:%20d,%20name%20:%20d HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:10 +0900] "GET /practice01/test02.jsp?id=&pw=&name= HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:11 +0900] "GET /practice01/index.jsp?msg=id%20:%20,%20pw%20:%20,%20name%20: HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:14 +0900] "GET /practice01/test02.jsp?id=&pw=&name= HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:15 +0900] "GET /practice01/index.jsp?msg=id%20:%20,%20pw%20:%20,%20name%20: HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:18 +0900] "GET /practice01/test02.jsp?id=&pw=&name= HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:28 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 200 214
